,res1,res2,cont1,cont2,s:e,position1,position2,sorted,result,s1,s2,season,episode,prediction,pt_preds,binary_pred,pred_correct,r1,r2
3894,7.0,2.0,India Ferrah,Raja,3:6.0,,HIGH,"[['India Ferrah', 'Raja'], '3:6.0']",0,0,1,3.0,6.0,6.331493332944952e-10,1.4139879207980116e-24,0,1,"trueskill.Rating(mu=15.957, sigma=1.191)","trueskill.Rating(mu=27.148, sigma=1.140)"
3900,7.0,2.0,Phoenix,Alexis Mateo,3:6.0,,HIGH,"[['Alexis Mateo', 'Phoenix'], '3:6.0']",0,0,1,3.0,6.0,1.2144098702292466e-24,1.2054671196942208e-24,0,1,"trueskill.Rating(mu=9.966, sigma=1.467)","trueskill.Rating(mu=32.693, sigma=1.355)"
3969,7.0,2.0,Mimi Imfurst,Alexis Mateo,3:6.0,,HIGH,"[['Alexis Mateo', 'Mimi Imfurst'], '3:6.0']",0,0,1,3.0,6.0,4.8721473588764126e-15,3.7619767411092963e-19,0,1,"trueskill.Rating(mu=17.574, sigma=1.101)","trueskill.Rating(mu=32.693, sigma=1.358)"
3983,7.0,2.0,Mimi Imfurst,Raja,3:6.0,,HIGH,"[['Mimi Imfurst', 'Raja'], '3:6.0']",0,0,1,3.0,6.0,3.09424052899745e-08,2.736779193040244e-23,0,1,"trueskill.Rating(mu=17.568, sigma=1.103)","trueskill.Rating(mu=27.169, sigma=1.140)"
4011,7.0,2.0,India Ferrah,Alexis Mateo,3:6.0,,HIGH,"[['Alexis Mateo', 'India Ferrah'], '3:6.0']",0,0,1,3.0,6.0,4.871385048954667e-17,1.7749801203666818e-20,0,1,"trueskill.Rating(mu=15.935, sigma=1.190)","trueskill.Rating(mu=32.701, sigma=1.358)"
4139,6.0,2.0,Mariah,Raja,3:6.0,ELIM,HIGH,"[['Mariah', 'Raja'], '3:6.0']",0,0,1,3.0,6.0,6.124633409620478e-05,7.083737164050556e-20,0,1,"trueskill.Rating(mu=20.465, sigma=1.080)","trueskill.Rating(mu=27.201, sigma=1.138)"
4163,6.0,2.0,Mariah,Alexis Mateo,3:6.0,ELIM,HIGH,"[['Alexis Mateo', 'Mariah'], '3:6.0']",0,0,1,3.0,6.0,1.0783617244028983e-10,6.508475281880858e-16,0,1,"trueskill.Rating(mu=20.409, sigma=1.076)","trueskill.Rating(mu=32.705, sigma=1.360)"
5835,7.0,3.0,India Ferrah,Carmen Carrera,3:6.0,,SAFE,"[['Carmen Carrera', 'India Ferrah'], '3:6.0']",0,0,1,3.0,6.0,0.003163741965449784,1.1859907457718629e-08,0,1,"trueskill.Rating(mu=15.932, sigma=1.192)","trueskill.Rating(mu=20.979, sigma=1.146)"
5841,7.0,3.0,India Ferrah,Manila Luzon,3:6.0,,SAFE,"[['India Ferrah', 'Manila Luzon'], '3:6.0']",0,0,1,3.0,6.0,5.966263287232605e-11,1.9044562024645075e-24,0,1,"trueskill.Rating(mu=15.836, sigma=1.184)","trueskill.Rating(mu=27.560, sigma=1.118)"
5861,7.0,3.0,Mimi Imfurst,Shangela,3:6.0,,SAFE,"[['Mimi Imfurst', 'Shangela'], '3:6.0']",0,0,1,3.0,6.0,6.660929200813169e-09,1.3579431534395698e-11,0,1,"trueskill.Rating(mu=17.538, sigma=1.102)","trueskill.Rating(mu=27.289, sigma=1.068)"
5864,7.0,3.0,Mimi Imfurst,Carmen Carrera,3:6.0,,SAFE,"[['Carmen Carrera', 'Mimi Imfurst'], '3:6.0']",0,0,1,3.0,6.0,0.02231282847127726,1.8117132908146472e-07,0,1,"trueskill.Rating(mu=17.509, sigma=1.101)","trueskill.Rating(mu=21.068, sigma=1.140)"
5868,7.0,3.0,India Ferrah,Shangela,3:6.0,,SAFE,"[['India Ferrah', 'Shangela'], '3:6.0']",0,0,1,3.0,6.0,5.4638765668480754e-11,6.657595441954397e-13,0,1,"trueskill.Rating(mu=15.817, sigma=1.184)","trueskill.Rating(mu=27.316, sigma=1.068)"
5869,7.0,3.0,Mimi Imfurst,Manila Luzon,3:6.0,,SAFE,"[['Manila Luzon', 'Mimi Imfurst'], '3:6.0']",0,0,1,3.0,6.0,3.0167993715384787e-09,3.694901084259132e-23,0,1,"trueskill.Rating(mu=17.404, sigma=1.095)","trueskill.Rating(mu=27.577, sigma=1.118)"
5877,6.0,3.0,Mariah,Shangela,3:6.0,ELIM,SAFE,"[['Mariah', 'Shangela'], '3:6.0']",0,0,1,3.0,6.0,2.16179850915449e-05,7.264260573125593e-09,0,1,"trueskill.Rating(mu=20.395, sigma=1.077)","trueskill.Rating(mu=27.332, sigma=1.068)"
5878,6.0,3.0,Mariah,Carmen Carrera,3:6.0,ELIM,SAFE,"[['Carmen Carrera', 'Mariah'], '3:6.0']",0,0,1,3.0,6.0,0.3152155017018886,2.8145795351171163e-05,0,1,"trueskill.Rating(mu=20.342, sigma=1.074)","trueskill.Rating(mu=21.181, sigma=1.133)"
5901,5.0,3.0,Delta Work,Shangela,3:6.0,BTM2,SAFE,"[['Delta Work', 'Shangela'], '3:6.0']",0,0,1,3.0,6.0,5.033040842832864e-05,5.9611619865376525e-05,0,1,"trueskill.Rating(mu=20.503, sigma=1.171)","trueskill.Rating(mu=27.385, sigma=1.065)"
5911,6.0,3.0,Mariah,Manila Luzon,3:6.0,ELIM,SAFE,"[['Manila Luzon', 'Mariah'], '3:6.0']",0,0,1,3.0,6.0,8.835988512471278e-06,9.624880343627836e-20,0,1,"trueskill.Rating(mu=20.192, sigma=1.067)","trueskill.Rating(mu=27.604, sigma=1.117)"
5922,5.0,3.0,Delta Work,Carmen Carrera,3:6.0,BTM2,SAFE,"[['Carmen Carrera', 'Delta Work'], '3:6.0']",0,0,1,3.0,6.0,0.30767687391929177,0.016062328150286114,0,1,"trueskill.Rating(mu=20.438, sigma=1.166)","trueskill.Rating(mu=21.348, sigma=1.123)"
5959,7.0,3.0,Phoenix,Shangela,3:6.0,,SAFE,"[['Phoenix', 'Shangela'], '3:6.0']",0,0,1,3.0,6.0,2.7485076479744973e-18,2.305638424332146e-17,0,1,"trueskill.Rating(mu=9.966, sigma=1.469)","trueskill.Rating(mu=27.438, sigma=1.063)"
5962,7.0,3.0,Phoenix,Carmen Carrera,3:6.0,,SAFE,"[['Carmen Carrera', 'Phoenix'], '3:6.0']",0,0,1,3.0,6.0,1.0108579173194362e-08,5.43831147410121e-13,0,1,"trueskill.Rating(mu=9.962, sigma=1.470)","trueskill.Rating(mu=21.510, sigma=1.114)"
5964,7.0,3.0,Phoenix,Manila Luzon,3:6.0,,SAFE,"[['Manila Luzon', 'Phoenix'], '3:6.0']",0,0,1,3.0,6.0,3.071051973370114e-18,2.468836490567992e-28,0,1,"trueskill.Rating(mu=9.931, sigma=1.465)","trueskill.Rating(mu=27.656, sigma=1.113)"
5977,7.0,3.0,Venus D-Lite,Shangela,3:6.0,,SAFE,"[['Shangela', 'Venus D-Lite'], '3:6.0']",0,0,1,3.0,6.0,2.4934653854902012e-20,2.2699828431394946e-18,0,1,"trueskill.Rating(mu=3.494, sigma=2.106)","trueskill.Rating(mu=27.440, sigma=1.065)"
5978,7.0,3.0,Venus D-Lite,Carmen Carrera,3:6.0,,SAFE,"[['Carmen Carrera', 'Venus D-Lite'], '3:6.0']",0,0,1,3.0,6.0,4.368869622766378e-12,6.7202908009573774e-15,0,1,"trueskill.Rating(mu=3.494, sigma=2.108)","trueskill.Rating(mu=21.528, sigma=1.114)"
5979,7.0,3.0,Venus D-Lite,Manila Luzon,3:6.0,,SAFE,"[['Manila Luzon', 'Venus D-Lite'], '3:6.0']",0,0,1,3.0,6.0,2.856393739880234e-20,8.032024987631403e-27,0,1,"trueskill.Rating(mu=3.487, sigma=2.106)","trueskill.Rating(mu=27.658, sigma=1.116)"
6073,5.0,3.0,Delta Work,Manila Luzon,3:6.0,BTM2,SAFE,"[['Delta Work', 'Manila Luzon'], '3:6.0']",0,0,1,3.0,6.0,1.9683327336162507e-05,5.729706852425067e-14,0,1,"trueskill.Rating(mu=20.264, sigma=1.155)","trueskill.Rating(mu=27.658, sigma=1.119)"
6080,4.0,3.0,Yara Sofia,Manila Luzon,3:6.0,LOW,SAFE,"[['Manila Luzon', 'Yara Sofia'], '3:6.0']",0,0,1,3.0,6.0,0.20111462642243197,0.17351416862902092,0,1,"trueskill.Rating(mu=26.192, sigma=1.176)","trueskill.Rating(mu=27.711, sigma=1.116)"
6102,4.0,3.0,Yara Sofia,Shangela,3:6.0,LOW,SAFE,"[['Shangela', 'Yara Sofia'], '3:6.0']",0,0,1,3.0,6.0,0.21226815332664128,0.9983054894354045,0,1,"trueskill.Rating(mu=26.029, sigma=1.166)","trueskill.Rating(mu=27.440, sigma=1.069)"
6103,4.0,3.0,Yara Sofia,Carmen Carrera,3:6.0,LOW,SAFE,"[['Carmen Carrera', 'Yara Sofia'], '3:6.0']",0,0,1,3.0,6.0,0.9920853566426192,0.999997591202799,1,0,"trueskill.Rating(mu=25.865, sigma=1.156)","trueskill.Rating(mu=21.530, sigma=1.117)"
7186,5.0,4.0,Delta Work,Yara Sofia,3:6.0,BTM2,LOW,"[['Delta Work', 'Yara Sofia'], '3:6.0']",0,0,1,3.0,6.0,0.0015818908385114537,2.2827837147573224e-11,0,1,"trueskill.Rating(mu=20.208, sigma=1.151)","trueskill.Rating(mu=25.560, sigma=1.142)"
7249,7.0,4.0,India Ferrah,Yara Sofia,3:6.0,,LOW,"[['India Ferrah', 'Yara Sofia'], '3:6.0']",0,0,1,3.0,6.0,3.9712121830655195e-08,2.130497548070928e-21,0,1,"trueskill.Rating(mu=15.797, sigma=1.183)","trueskill.Rating(mu=25.643, sigma=1.136)"
7267,6.0,4.0,Mariah,Yara Sofia,3:6.0,ELIM,LOW,"[['Mariah', 'Yara Sofia'], '3:6.0']",0,0,1,3.0,6.0,0.000740626239960332,8.888185466959781e-17,0,1,"trueskill.Rating(mu=20.144, sigma=1.064)","trueskill.Rating(mu=25.673, sigma=1.135)"
7391,7.0,4.0,Venus D-Lite,Yara Sofia,3:6.0,,LOW,"[['Venus D-Lite', 'Yara Sofia'], '3:6.0']",0,0,1,3.0,6.0,2.2387401205229646e-17,1.1989971912012302e-24,0,1,"trueskill.Rating(mu=3.486, sigma=2.107)","trueskill.Rating(mu=25.752, sigma=1.129)"
7437,7.0,4.0,Mimi Imfurst,Yara Sofia,3:6.0,,LOW,"[['Mimi Imfurst', 'Yara Sofia'], '3:6.0']",0,0,1,3.0,6.0,9.827021237577842e-07,4.451698535447746e-20,0,1,"trueskill.Rating(mu=17.378, sigma=1.094)","trueskill.Rating(mu=25.752, sigma=1.132)"
7468,7.0,4.0,Phoenix,Yara Sofia,3:6.0,,LOW,"[['Phoenix', 'Yara Sofia'], '3:6.0']",0,0,1,3.0,6.0,8.014971103207482e-15,1.6905093796980415e-25,0,1,"trueskill.Rating(mu=9.927, sigma=1.467)","trueskill.Rating(mu=25.795, sigma=1.130)"
7713,7.0,5.0,Venus D-Lite,Delta Work,3:6.0,,BTM2,"[['Delta Work', 'Venus D-Lite'], '3:6.0']",0,0,1,3.0,6.0,2.021337376000136e-10,5.5375885470746544e-11,0,1,"trueskill.Rating(mu=3.486, sigma=2.109)","trueskill.Rating(mu=20.123, sigma=1.145)"
7727,7.0,5.0,Phoenix,Delta Work,3:6.0,,BTM2,"[['Delta Work', 'Phoenix'], '3:6.0']",0,0,1,3.0,6.0,4.581613968198177e-07,2.2515447216662895e-08,0,1,"trueskill.Rating(mu=9.920, sigma=1.467)","trueskill.Rating(mu=20.127, sigma=1.147)"
7766,7.0,5.0,India Ferrah,Delta Work,3:6.0,,BTM2,"[['Delta Work', 'India Ferrah'], '3:6.0']",0,0,1,3.0,6.0,0.008497561022310657,0.00012981639058423622,0,1,"trueskill.Rating(mu=15.764, sigma=1.181)","trueskill.Rating(mu=20.155, sigma=1.146)"
7779,6.0,5.0,Mariah,Delta Work,3:6.0,ELIM,BTM2,"[['Delta Work', 'Mariah'], '3:6.0']",0,0,1,3.0,6.0,0.4586661939867191,0.025655196155877344,0,1,"trueskill.Rating(mu=20.074, sigma=1.061)","trueskill.Rating(mu=20.255, sigma=1.139)"
8036,7.0,5.0,Mimi Imfurst,Delta Work,3:6.0,,BTM2,"[['Delta Work', 'Mimi Imfurst'], '3:6.0']",0,0,1,3.0,6.0,0.03875173181898411,0.0010304388651450076,0,1,"trueskill.Rating(mu=17.338, sigma=1.092)","trueskill.Rating(mu=20.438, sigma=1.129)"
8878,7.0,6.0,India Ferrah,Mariah,3:6.0,,ELIM,"[['India Ferrah', 'Mariah'], '3:6.0']",0,0,1,3.0,6.0,0.007853688844017848,0.03637955015834042,0,1,"trueskill.Rating(mu=15.659, sigma=1.173)","trueskill.Rating(mu=19.915, sigma=1.053)"
8879,7.0,6.0,Mimi Imfurst,Mariah,3:6.0,,ELIM,"[['Mariah', 'Mimi Imfurst'], '3:6.0']",0,0,1,3.0,6.0,0.050048975255199246,0.12147075899217802,0,1,"trueskill.Rating(mu=17.226, sigma=1.085)","trueskill.Rating(mu=20.001, sigma=1.049)"
8880,7.0,6.0,Phoenix,Mariah,3:6.0,,ELIM,"[['Mariah', 'Phoenix'], '3:6.0']",0,0,1,3.0,6.0,1.5684061337045417e-07,6.181836337653505e-05,0,1,"trueskill.Rating(mu=9.874, sigma=1.460)","trueskill.Rating(mu=20.110, sigma=1.043)"
8881,7.0,6.0,Venus D-Lite,Mariah,3:6.0,,ELIM,"[['Mariah', 'Venus D-Lite'], '3:6.0']",0,0,1,3.0,6.0,7.361846042148762e-11,1.0108935831518807e-07,0,1,"trueskill.Rating(mu=3.473, sigma=2.105)","trueskill.Rating(mu=20.133, sigma=1.043)"
1,7.0,1.0,Phoenix,Raja,3:7,,WIN,"[['Phoenix', 'Raja'], '3:7']",0,0,1,3.0,7.0,1.2041196005064563e-17,1.8471179573034706e-28,0,1,"trueskill.Rating(mu=9.829, sigma=1.454)","trueskill.Rating(mu=27.264, sigma=1.133)"
5,7.0,1.0,Venus D-Lite,Raja,3:7,,WIN,"[['Raja', 'Venus D-Lite'], '3:7']",0,0,1,3.0,7.0,1.2808607719554943e-19,6.1530911370537294e-27,0,1,"trueskill.Rating(mu=3.461, sigma=2.102)","trueskill.Rating(mu=27.266, sigma=1.136)"
44,2.0,1.0,Manila Luzon,Raja,3:7,HIGH,WIN,"[['Manila Luzon', 'Raja'], '3:7']",0,0,1,3.0,7.0,0.6304243904697485,0.47023043672272175,1,0,"trueskill.Rating(mu=27.858, sigma=1.107)","trueskill.Rating(mu=27.266, sigma=1.139)"
46,5.0,1.0,Alexis Mateo,Raja,3:7,BTM2,WIN,"[['Alexis Mateo', 'Raja'], '3:7']",0,0,1,3.0,7.0,0.9961657347527327,0.11532941704995714,1,0,"trueskill.Rating(mu=32.726, sigma=1.358)","trueskill.Rating(mu=27.468, sigma=1.128)"
48,2.0,1.0,Yara Sofia,Raja,3:7,HIGH,WIN,"[['Raja', 'Yara Sofia'], '3:7']",0,0,1,3.0,7.0,0.13246302421819064,0.15584047142707236,0,1,"trueskill.Rating(mu=25.800, sigma=1.132)","trueskill.Rating(mu=27.781, sigma=1.116)"
49,7.0,1.0,Mimi Imfurst,Raja,3:7,,WIN,"[['Mimi Imfurst', 'Raja'], '3:7']",0,0,1,3.0,7.0,2.0330830235683882e-10,2.736779193040244e-23,0,1,"trueskill.Rating(mu=17.110, sigma=1.079)","trueskill.Rating(mu=27.919, sigma=1.108)"
53,4.0,1.0,Shangela,Raja,3:7,LOW,WIN,"[['Raja', 'Shangela'], '3:7']",0,0,1,3.0,7.0,0.4162367039539896,4.646676678826079e-05,0,1,"trueskill.Rating(mu=27.578, sigma=1.062)","trueskill.Rating(mu=27.941, sigma=1.108)"
55,2.0,1.0,Delta Work,Raja,3:7,HIGH,WIN,"[['Delta Work', 'Raja'], '3:7']",0,0,1,3.0,7.0,8.423141631161713e-06,4.203227067948871e-14,0,1,"trueskill.Rating(mu=20.558, sigma=1.121)","trueskill.Rating(mu=28.110, sigma=1.099)"
58,6.0,1.0,Stacy Layne Matthews,Raja,3:7,ELIM,WIN,"[['Raja', 'Stacy Layne Matthews'], '3:7']",0,0,1,3.0,7.0,0.28023735137158046,4.943025245034971e-13,0,1,"trueskill.Rating(mu=27.174, sigma=1.044)","trueskill.Rating(mu=28.159, sigma=1.096)"
60,7.0,1.0,Mariah,Raja,3:7,,WIN,"[['Mariah', 'Raja'], '3:7']",0,0,1,3.0,7.0,6.266095621206336e-07,7.083737164050556e-20,0,1,"trueskill.Rating(mu=20.136, sigma=1.046)","trueskill.Rating(mu=28.313, sigma=1.088)"
63,7.0,1.0,India Ferrah,Raja,3:7,,WIN,"[['India Ferrah', 'Raja'], '3:7']",0,0,1,3.0,7.0,3.1972309496926194e-13,1.4139879207980116e-24,0,1,"trueskill.Rating(mu=15.552, sigma=1.165)","trueskill.Rating(mu=28.354, sigma=1.085)"
271,4.0,1.0,Carmen Carrera,Raja,3:7,LOW,WIN,"[['Carmen Carrera', 'Raja'], '3:7']",0,0,1,3.0,7.0,7.843196420733845e-05,1.8111136739380135e-08,0,1,"trueskill.Rating(mu=21.816, sigma=1.105)","trueskill.Rating(mu=28.365, sigma=1.087)"
401,7.0,2.0,Phoenix,Delta Work,3:7,,HIGH,"[['Delta Work', 'Phoenix'], '3:7']",0,0,1,3.0,7.0,9.185994487565872e-08,2.2515447216662895e-08,0,1,"trueskill.Rating(mu=9.826, sigma=1.455)","trueskill.Rating(mu=20.507, sigma=1.118)"
407,7.0,2.0,Phoenix,Yara Sofia,3:7,,HIGH,"[['Phoenix', 'Yara Sofia'], '3:7']",0,0,1,3.0,7.0,4.4306330530573695e-15,1.6905093796980415e-25,0,1,"trueskill.Rating(mu=9.786, sigma=1.449)","trueskill.Rating(mu=25.658, sigma=1.123)"
409,7.0,2.0,Phoenix,Manila Luzon,3:7,,HIGH,"[['Manila Luzon', 'Phoenix'], '3:7']",0,0,1,3.0,7.0,6.007762394739285e-19,2.468836490567992e-28,0,1,"trueskill.Rating(mu=9.779, sigma=1.450)","trueskill.Rating(mu=27.667, sigma=1.098)"
412,7.0,2.0,Mimi Imfurst,Delta Work,3:7,,HIGH,"[['Delta Work', 'Mimi Imfurst'], '3:7']",0,0,1,3.0,7.0,0.023774048842300506,0.0010304388651450076,0,1,"trueskill.Rating(mu=17.089, sigma=1.079)","trueskill.Rating(mu=20.530, sigma=1.117)"
419,7.0,2.0,Mimi Imfurst,Yara Sofia,3:7,,HIGH,"[['Mimi Imfurst', 'Yara Sofia'], '3:7']",0,0,1,3.0,7.0,3.005033081517066e-07,4.451698535447746e-20,0,1,"trueskill.Rating(mu=16.986, sigma=1.073)","trueskill.Rating(mu=25.662, sigma=1.125)"
424,7.0,2.0,Mimi Imfurst,Manila Luzon,3:7,,HIGH,"[['Manila Luzon', 'Mimi Imfurst'], '3:7']",0,0,1,3.0,7.0,2.1671298729782614e-10,3.694901084259132e-23,0,1,"trueskill.Rating(mu=16.950, sigma=1.072)","trueskill.Rating(mu=27.669, sigma=1.101)"
426,7.0,2.0,Venus D-Lite,Manila Luzon,3:7,,HIGH,"[['Manila Luzon', 'Venus D-Lite'], '3:7']",0,0,1,3.0,7.0,1.5808054565781103e-20,8.032024987631403e-27,0,1,"trueskill.Rating(mu=3.461, sigma=2.103)","trueskill.Rating(mu=27.691, sigma=1.100)"
440,7.0,2.0,Venus D-Lite,Delta Work,3:7,,HIGH,"[['Delta Work', 'Venus D-Lite'], '3:7']",0,0,1,3.0,7.0,3.63563754708057e-11,5.5375885470746544e-11,0,1,"trueskill.Rating(mu=3.460, sigma=2.105)","trueskill.Rating(mu=20.641, sigma=1.110)"
443,7.0,2.0,Venus D-Lite,Yara Sofia,3:7,,HIGH,"[['Venus D-Lite', 'Yara Sofia'], '3:7']",0,0,1,3.0,7.0,1.8421482222050164e-17,1.1989971912012302e-24,0,1,"trueskill.Rating(mu=3.451, sigma=2.102)","trueskill.Rating(mu=25.701, sigma=1.123)"
446,4.0,2.0,Shangela,Yara Sofia,3:7,LOW,HIGH,"[['Shangela', 'Yara Sofia'], '3:7']",0,0,1,3.0,7.0,0.8407623775870572,0.0016945105645955003,1,0,"trueskill.Rating(mu=27.422, sigma=1.054)","trueskill.Rating(mu=25.701, sigma=1.126)"
449,4.0,2.0,Shangela,Manila Luzon,3:7,LOW,HIGH,"[['Manila Luzon', 'Shangela'], '3:7']",0,0,1,3.0,7.0,0.3919590890500147,5.916041556433424e-05,0,1,"trueskill.Rating(mu=27.225, sigma=1.046)","trueskill.Rating(mu=27.691, sigma=1.103)"
450,4.0,2.0,Carmen Carrera,Delta Work,3:7,LOW,HIGH,"[['Carmen Carrera', 'Delta Work'], '3:7']",0,0,1,3.0,7.0,0.7370489816306887,0.9839376718497139,1,0,"trueskill.Rating(mu=21.754, sigma=1.101)","trueskill.Rating(mu=20.644, sigma=1.113)"
453,4.0,2.0,Carmen Carrera,Yara Sofia,3:7,LOW,HIGH,"[['Carmen Carrera', 'Yara Sofia'], '3:7']",0,0,1,3.0,7.0,0.006108811867966567,2.4087972010514954e-06,0,1,"trueskill.Rating(mu=21.554, sigma=1.092)","trueskill.Rating(mu=25.926, sigma=1.115)"
457,4.0,2.0,Carmen Carrera,Manila Luzon,3:7,LOW,HIGH,"[['Carmen Carrera', 'Manila Luzon'], '3:7']",0,0,1,3.0,7.0,0.00010423326135868089,2.4107116510914077e-08,0,1,"trueskill.Rating(mu=21.463, sigma=1.086)","trueskill.Rating(mu=27.857, sigma=1.095)"
462,5.0,2.0,Alexis Mateo,Delta Work,3:7,BTM2,HIGH,"[['Alexis Mateo', 'Delta Work'], '3:7']",0,0,1,3.0,7.0,0.9999999982910486,0.9999999998853952,1,0,"trueskill.Rating(mu=32.273, sigma=1.334)","trueskill.Rating(mu=20.848, sigma=1.103)"
464,5.0,2.0,Alexis Mateo,Yara Sofia,3:7,BTM2,HIGH,"[['Alexis Mateo', 'Yara Sofia'], '3:7']",0,0,1,3.0,7.0,0.9981716395220539,0.4215320910791716,1,0,"trueskill.Rating(mu=31.588, sigma=1.308)","trueskill.Rating(mu=26.020, sigma=1.109)"
465,5.0,2.0,Alexis Mateo,Manila Luzon,3:7,BTM2,HIGH,"[['Alexis Mateo', 'Manila Luzon'], '3:7']",0,0,1,3.0,7.0,0.9570170995644613,0.1295137978685072,1,0,"trueskill.Rating(mu=31.155, sigma=1.286)","trueskill.Rating(mu=27.920, sigma=1.091)"
467,4.0,2.0,Shangela,Delta Work,3:7,LOW,HIGH,"[['Delta Work', 'Shangela'], '3:7']",0,0,1,3.0,7.0,0.999686342790049,0.9999403883801347,1,0,"trueskill.Rating(mu=27.075, sigma=1.039)","trueskill.Rating(mu=21.317, sigma=1.090)"
470,7.0,2.0,India Ferrah,Delta Work,3:7,,HIGH,"[['Delta Work', 'India Ferrah'], '3:7']",0,0,1,3.0,7.0,0.00030231621385012674,0.00012981639058423622,0,1,"trueskill.Rating(mu=15.539, sigma=1.166)","trueskill.Rating(mu=21.628, sigma=1.079)"
473,7.0,2.0,India Ferrah,Yara Sofia,3:7,,HIGH,"[['India Ferrah', 'Yara Sofia'], '3:7']",0,0,1,3.0,7.0,5.685079707508037e-10,2.130497548070928e-21,0,1,"trueskill.Rating(mu=15.464, sigma=1.160)","trueskill.Rating(mu=26.332, sigma=1.097)"
474,7.0,2.0,India Ferrah,Manila Luzon,3:7,,HIGH,"[['India Ferrah', 'Manila Luzon'], '3:7']",0,0,1,3.0,7.0,3.41900705966698e-13,1.9044562024645075e-24,0,1,"trueskill.Rating(mu=15.440, sigma=1.159)","trueskill.Rating(mu=28.164, sigma=1.081)"
478,7.0,2.0,Mariah,Delta Work,3:7,,HIGH,"[['Delta Work', 'Mariah'], '3:7']",0,0,1,3.0,7.0,0.1706064100585128,0.025655196155877344,0,1,"trueskill.Rating(mu=20.097, sigma=1.044)","trueskill.Rating(mu=21.692, sigma=1.075)"
482,7.0,2.0,Mariah,Yara Sofia,3:7,,HIGH,"[['Mariah', 'Yara Sofia'], '3:7']",0,0,1,3.0,7.0,7.828805954979621e-05,8.888185466959781e-17,0,1,"trueskill.Rating(mu=19.969, sigma=1.038)","trueskill.Rating(mu=26.353, sigma=1.097)"
485,6.0,2.0,Stacy Layne Matthews,Delta Work,3:7,ELIM,HIGH,"[['Delta Work', 'Stacy Layne Matthews'], '3:7']",0,0,1,3.0,7.0,0.9991162448818103,0.6735413157710615,1,0,"trueskill.Rating(mu=27.035, sigma=1.038)","trueskill.Rating(mu=21.828, sigma=1.068)"
486,6.0,2.0,Stacy Layne Matthews,Yara Sofia,3:7,ELIM,HIGH,"[['Stacy Layne Matthews', 'Yara Sofia'], '3:7']",0,0,1,3.0,7.0,0.5825892950698812,2.271403120487529e-10,1,0,"trueskill.Rating(mu=26.766, sigma=1.029)","trueskill.Rating(mu=26.416, sigma=1.093)"
487,6.0,2.0,Stacy Layne Matthews,Manila Luzon,3:7,ELIM,HIGH,"[['Manila Luzon', 'Stacy Layne Matthews'], '3:7']",0,0,1,3.0,7.0,0.1726924086540443,6.734545051044246e-13,0,1,"trueskill.Rating(mu=26.605, sigma=1.022)","trueskill.Rating(mu=28.176, sigma=1.082)"
492,7.0,2.0,Mariah,Manila Luzon,3:7,,HIGH,"[['Manila Luzon', 'Mariah'], '3:7']",0,0,1,3.0,7.0,2.392140604776366e-07,9.624880343627836e-20,0,1,"trueskill.Rating(mu=19.913, sigma=1.036)","trueskill.Rating(mu=28.314, sigma=1.075)"
1205,7.0,4.0,India Ferrah,Shangela,3:7,,LOW,"[['India Ferrah', 'Shangela'], '3:7']",0,0,1,3.0,7.0,2.739632670519198e-11,6.657595441954397e-13,0,1,"trueskill.Rating(mu=15.427, sigma=1.159)","trueskill.Rating(mu=26.793, sigma=1.030)"
1207,7.0,4.0,Phoenix,Carmen Carrera,3:7,,LOW,"[['Carmen Carrera', 'Phoenix'], '3:7']",0,0,1,3.0,7.0,4.323095902527698e-09,5.43831147410121e-13,0,1,"trueskill.Rating(mu=9.776, sigma=1.451)","trueskill.Rating(mu=21.402, sigma=1.083)"
1217,7.0,4.0,India Ferrah,Carmen Carrera,3:7,,LOW,"[['Carmen Carrera', 'India Ferrah'], '3:7']",0,0,1,3.0,7.0,0.00034881892810194884,1.1859907457718629e-08,0,1,"trueskill.Rating(mu=15.407, sigma=1.159)","trueskill.Rating(mu=21.419, sigma=1.083)"
1221,7.0,4.0,Mimi Imfurst,Carmen Carrera,3:7,,LOW,"[['Carmen Carrera', 'Mimi Imfurst'], '3:7']",0,0,1,3.0,7.0,0.0036886739946458548,1.8117132908146472e-07,0,1,"trueskill.Rating(mu=16.929, sigma=1.072)","trueskill.Rating(mu=21.484, sigma=1.079)"
1227,6.0,4.0,Stacy Layne Matthews,Carmen Carrera,3:7,ELIM,LOW,"[['Carmen Carrera', 'Stacy Layne Matthews'], '3:7']",0,0,1,3.0,7.0,0.9985126094164425,0.04297495456962961,1,0,"trueskill.Rating(mu=26.482, sigma=1.017)","trueskill.Rating(mu=21.570, sigma=1.074)"
1228,6.0,4.0,Stacy Layne Matthews,Shangela,3:7,ELIM,LOW,"[['Shangela', 'Stacy Layne Matthews'], '3:7']",0,0,1,3.0,7.0,0.3598511959940497,0.00028515315197355897,0,1,"trueskill.Rating(mu=26.230, sigma=1.009)","trueskill.Rating(mu=26.809, sigma=1.031)"
1241,7.0,4.0,Mimi Imfurst,Shangela,3:7,,LOW,"[['Mimi Imfurst', 'Shangela'], '3:7']",0,0,1,3.0,7.0,4.902148620843445e-10,1.3579431534395698e-11,0,1,"trueskill.Rating(mu=16.844, sigma=1.067)","trueskill.Rating(mu=26.953, sigma=1.025)"
